Date,,Amount,Account,Category,Date,Stream,Amount,Account,,,,Income,Expenses ,Balance,,Totals,,,,,Budget,,,,Actual
1/1/2025,Daves Hot Chicken,$14.09,CHASE,WASTE,2/1/2025,,,,,,,$31.00,"$2,126.31","-$2,095.31",,,,,,,,,,,
,Reighn 7-11,$3.59,CHASE,WASTE,2/1/2025,Coin Return,$19.00,,,,,,,,,,,,,,,,,,
,Crud Cash L,$10.75,CHASE,WASTE,2/1/2025,Playtos Closet ,$12.00,,,,,,,,,1/1/2025,,,,,,,,,
,Indian Food ,$17.76,CHASE,WASTE,,GH ,,,,LMCU Debit,GROCERIES,,,,,LMCU MAX,$0.00,,"$1,996.96",,WASTE,$200.00,,"$2,405.00",
,Sree Saffron,$3.17,CHASE,WASTE,,,,,,LMCU MAX,MISC(FAMILY),,,,,LMCU Debit,$11.85,,,,SELF INVESTMENT,$400.00,,,
,,,,,,,,,,LMCU PRIME,GAS,,,,,CHASE,$294.68,,,,GROCERIES,$300.00,,,
1/2/,Chipotle,$9.65,CHASE,WASTE,2/2/2025,,,,,CHASE,SELF INVESTMENT,,,,,INVESTMENT ACCOUNT,"$1,116.41",,,,MISC(FAMILY),$200.00,,,
,Bigby,$3.17,CHASE,GAS,,,,,,CHIME,SUBSCRIPTION,,,,,ACORNS,$573.69,,,,GAS,$160.00,,,
,Grand Traverse Pie,$5.29,CHASE,SUBSCRIPTION,,,,,,,WASTE,,,,,CHIME,$0.33,,,,SUBSCRIPTION,$700.00,Rent,,
,Marathon,$20.00,CHASE,SUBSCRIPTION,,,,,,,Rent,,,,,,,,,,SUBSCRIPTION,$175.00,Car Insurance,,
,Top Shop,$10.13,CHASE,WASTE,,,,,,,,,,,,,,,,,SUBSCRIPTION,$110.00,Phone Bill,,
,Raising Canes,$12.42,CHASE,WASTE,,,,,,,,,,,,,,,,,SUBSCRIPTION,$160.00,Investments,,
,Acorns,$40.00,CHASE,SELF INVESTMENT,,,,,,,,,,,,,,,,,,,,,
,Discover,$38.00,CHASE,SELF INVESTMENT,,,,,,,,,,,,,,,,,,,,,
,Jimmy Johns,$9.21,CHASE,WASTE,,,,,,,,,,,,,,,,,,,,,
,JJ's,$1.90,CHASE,WASTE,,,,,,,,,,,,,,,,,,,,,
,Resident Account,$15.00,CHASE,Rent,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
2/4/2025,Cash Spending,40,CHASE,SELF INVESTMENT,,,,,,,,,,,,,,,,,,,,,
,Shelll Gas,23.31,CHASE,GAS,,,,,,,,,,,,,,,,,,,,,
,Aldi Groceires,$32.03,CHASE,GROCERIES,,,,,,,,,,,,,,,,,,,,,
,Top Shop,$7.22,CHASE,WASTE,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
2/5/2025,Raising Canes,$13.03,CHASE,WASTE,,,,,,,,,,,,,,,,,,,,,
,ATM,$20.00,CHASE,WASTE,,,,,,,,,,,,,,,,,,,,,
,Sindhu indian,$19.48,CHASE,WASTE,,,,,,,,,,,,,,,,,,,,,
LMCU ,$100.00,,,,,,,,,,,,,,,,,,,,,,,,
INSURANCE,$170.00,,,,,,,,,,,,,,,,,,,,,,,,
,TICKET,$40.00,CHASE,WASTE,,,,,,,,,,,,,,,,,,,,,
,TICKET,$50.00,CHASE,WASTE,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
2/10/2025,Top Shop,$5.48,CHASE,WASTE,,,,,,,,,,,,,,,,,,,,,
,meijer ,$10.75,CHASE,GROCERIES,,,,,,,,,,,,,,,,,,,,,
,meijer ,$5.59,CHASE,GROCERIES,,,,,,,,,,,,,,,,,,,,,
,Top Shop,$10.13,CHASE,SELF INVESTMENT,,,,,,,,,,,,,,,,,,,,,
,Qdoba,$10.59,CHASE,GROCERIES,,,,,,,,,,,,,,,,,,,,,
,Dominos,$14.82,CHASE,WASTE,,,,,,,,,,,,,,,,,,,,,
,MSU webwork,$56.25,CHASE,SELF INVESTMENT,,,,,,,,,,,,,,,,,,,,,
,Cricket ,$110.00,CHASE,SUBSCRIPTION,,,,,,,,,,,,,,,,,,,,,
,Speedway,$23.59,CHASE,GAS,,,,,,,,,,,,,,,,,,,,,
,Amazon Prime,$7.94,CHASE,SUBSCRIPTION,,,,,,,,,,,,,,,,,,,,,
,Papa Johns ,$27.55,CHASE,MISC(FAMILY),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
2/10/2025,NMS✅,,,,,,,,,,,,,,,,,,,,,,,,
